genre,genre_popularity,genre_track_count
acoustic,0.055027064255857815,17639
afrobeat,0.01966359837712408,9781
alt-rock,0.3891052323492943,17702
ambient,0.05493577529386063,17996
black-metal,0.004539977371944082,18201
blues,0.0512963503180805,16467
breakbeat,0.004966153062296718,9791
cantopop,0.013351380112487416,13441
chicago-house,0.0026753811612258258,3988
chill,0.14383452251199486,15336
classical,0.07234857045752116,15595
club,0.016772748895804514,11351
comedy,0.0053572354641829205,16168
country,0.20228386661115327,15096
dance,0.5177938739817189,14520
dancehall,0.012547634412474456,15419
death-metal,0.03063724748598172,15018
deep-house,0.043381298408252486,14496
detroit-techno,0.0022027941330907963,3032
disco,0.042621934504414934,14520
drum-and-bass,0.012183253981083875,12023
dub,0.02113932320803671,15483
dubstep,0.000378915261533563,4527
edm,0.16016428561965404,9250
electro,0.24095563732639821,10238
electronic,0.06178518542757959,7275
emo,0.11444052675788284,17384
folk,0.23638097188390564,13364
forro,0.020986686495155362,15834
french,0.15095341986290525,15632
funk,0.11062788030034089,12280
garage,0.045722521619884285,14212
german,0.12200150656498401,13871
gospel,0.05017261373503168,18072
goth,0.013922157294757952,14613
grindcore,0.00013817689423314708,12449
groove,0.01620116748892665,11567
guitar,0.004233577164716975,15268
hard-rock,0.040775899595875506,11377
hardcore,0.07878526087602516,13215
hardstyle,0.019857310356893084,8930
heavy-metal,0.005987892112913671,12292
hip-hop,0.6098277474201352,12793
house,0.1336644298467388,4781
indian,0.020513711627431312,17077
indie-pop,0.3385903659617741,7980
industrial,0.0066322778521500664,12302
jazz,0.12974495175655476,12672
k-pop,0.16444063822370675,16726
metal,0.38940369280138837,5593
metalcore,0.0009226270158611273,5099
minimal-techno,0.0016146481943670168,12195
new-age,0.013877531228408553,17038
opera,0.008455804822378078,12483
party,0.018380737682104638,7636
piano,0.042263092617471305,10763
pop,0.902170750916119,5104
pop-film,0.11095087803069403,14191
power-pop,0.00045321071148665974,14814
progressive-house,0.010726989202538159,8251
psych-rock,0.013959351200881652,10634
punk,0.14311203774993955,5058
punk-rock,0.031300842125791435,5594
rock,0.7801605038687639,2615
rock-n-roll,0.005073258498328947,13329
romance,0.0003139445506911645,5468
sad,0.22110832915121015,3321
salsa,0.02742697669790354,14627
samba,0.01831276283414403,15637
sertanejo,0.10124021441005773,14754
show-tunes,0.0458506114910278,9265
singer-songwriter,0.07113216568679087,11518
ska,0.02464478176551599,10965
sleep,0.028055935566351126,14263
songwriter,0.03921145073420349,585
soul,0.16584160573212006,7184
spanish,0.09686408531682204,15917
swedish,0.03977880343686063,9551
tango,0.0002905132808578315,12795
techno,0.009637393528189948,6177
trance,0.02047264823442619,8026
trip-hop,0.0012603943333182573,9281
